tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
Breast Cancer,ER+,Adjuvant,,,PENELOPE-B,,residual disease after neoadjuvant chemo; HR+/HER2-,ET+/-palbo x 1 year,4 year IDFS NS (72%);,,,,,,,Breast Cancer!18,
Breast Cancer,ER+,Adjuvant,,,NATALEE,,Pre and post menopausal II-III,ET+/- ribociclib x 3 years,"3 year iDFS 90 vs 87%, HR 0.75; 5 year iDFS 86 vs 82%, HR 0.716;",,,,,,,Breast Cancer!19,
Breast Cancer,ER+,Adjuvant,,,SOFT,,Premen,Tam vs Tam+OFS vs Exe+OFS,"Prior chemo: 12-y DFS tam vs tam+OFS 72 vs 76%, HR 0.82 for OFS arms; exe+OFS 79%; 12-y OS tam vs tam+OFS 87 vs 89%, HR 0.78",Exe+OFS showed survival benefit with longer follow-up; women <35 had most benefit from OFS; higher benefit in those with previous chemo,,,,,,Breast Cancer!20,
Breast Cancer,ER+,Adjuvant,,,TEXT,,Premen,Tam+OFS vs Exe+OFS,"Combined SOFT-TEXT at median 13 y: Exe+OFS vs Tam+OFS 12-y DFS +4.6% absolute (HR 0.79, 0.70-0.90, p<0.001), DRFI +1.8% (HR 0.83); OS not improved (90.1 vs 89.1%, HR 0.93)",Results from the combined TEXT+SOFT analysis; OS benefit confined to higher-risk subgroups,"12-y DFS HR 0.79 (95% CI 0.70-0.90), p<0.001",36521078,,,,Breast Cancer!21,
Breast Cancer,ER+,Adjuvant,,,SWOG S1007 (Rxponder),,1-3 node positive; RS 0-25; primary endpoint iDFS,Endocrine +/- chemo,Postmenopausal NS (5 year iDFS - 92/91%); Premenopausal 5 year iDFS 89 vs 94% (HR 0.6) and improved distant RFS (HR 0.58),Relative chemo benefit in premenopausal women did not change with increasing RS,,,,,,Breast Cancer!22,
Breast Cancer,ER+,Adjuvant,,,SWOG S1207,Phase 3,High-risk HR+/HER2- early breast cancer after chemotherapy; n=1792 eligible,Adjuvant everolimus,"Negative: IDFS HR 0.94 (0.77-1.14); OS HR 0.97 (0.75-1.26); premenopausal subgroup IDFS HR 0.64, OS HR 0.49; grade 3-4 AEs 35 vs 7%","Premenopausal benefit exploratory; treatment completion 48 vs 73%; SABCS 2022 abstract GS1-07 had reported 5-y IDFS 74.8 vs 73.9%, HR 0.93",IDFS HR 0.94 (95% CI 0.77-1.14),38833643,,,,Breast Cancer!23,
Breast Cancer,ER+,Adjuvant,,,Keynote 756,Phase 3,ER+; HER2-; T1c-2N1-2 or T3-4N0; grade 3; IDC; neoadjuvant,Neoadjuvant AC-T +/-pembro,pCR 24 vs 16%; EFS immature,,,,,,,Breast Cancer!24,
Breast Cancer,ER+,Adjuvant,,,Checkmate 7FL,Phase 3,ER+; HER2-; T1c-2N1-2 or T3-4N0; grade 2 or 3; IDC; neoadjuvant,Neoadjuvant AC-T +/- nivo,pCR 25 vs 14%;,,,,,,,Breast Cancer!25,
Breast Cancer,ER+,Adjuvant,,,lidERA,Phase 3,ER+HER2- EBC stage 1-3; either N+; >pT >1cm with grade 3 or Ki67 or high genomic score; or T4N0,Giredestrant vs SOC ET,iDFS HR 0.7 (3 year 92.4 vs 89.6%); less discontinuations for arthralgia and vasomotor; more bradycardia and VTE,,,,,,,Breast Cancer!26,
Breast Cancer,ER+,Adjuvant,,,EBCTG meta analysis,,Early stage breast ca,Bisphosphonates or not,Benefits in postmenopausal; bone recurrence 6.6 vs 8.8%; fracture 0.1 vs 10.3%; BC mortality 14.7 vs 18%;,,,,,,,Breast Cancer!28,
Breast Cancer,ER+,Adjuvant,,,D-CARE,,Early stage breast cancer,Denosumab or not,No bone metastasis free or DFS benefit,Cf ABCSG-18 showed 1 year OS benefit at 10 years and had DFS benefit,,,,,,Breast Cancer!29,
Breast Cancer,BRCA-mutated,,,,OlympiA,,"gBRCA1/2, HER2 negative, post definitive treatment and (neo)adjuvant treatment chemo; residual disease post neoadjuvant or ≥4 nodes + in adjuvant patients",Olaparib vs placebo,Emer,82% of patients had TNBC; 26% had platinum; no adjuvant capecitabine,,,,,,Breast Cancer!32,
Breast Cancer,ER+,Metastatic,,,Mauri meta-analysis,,Advanced breast cancer RCTs,AI vs tam,OS HR 0.89,,,,,,,Breast Cancer!35,
Breast Cancer,ER+,Metastatic,,,PALOMA-2,,Advanced HR+ MBC without prior treatment for advanced disease,Letrozole+/-palbociclib,"PFS 24.8 vs 14.5 mos, HR 0.58; ORR 42 vs 35%; OS NS",Meta-analysis suggests similar results with the 3 available CDKis although OS NS at ASCO 2022,,,,,,Breast Cancer!36,
Breast Cancer,ER+,Metastatic,,,MONALEESA-2,,Advanced HR+ MBC without prior treatment for advanced disease,Letrozole+/-ribociclib,"PFS 25.3 vs 16 mos, HR 0.56; ORR 43 vs 29%; OS 64 vs 51 mos, HR 0.76",,,,,,,Breast Cancer!37,
Breast Cancer,ER+,Metastatic,,,MONARCH-3,,Advanced HR+ MBC without prior treatment for advanced disease,Letrozole/Anastrozole+/-Abemaciclib,PFS NR vs 14.7 mos; HR 0.54; ORR 59 vs 44%; interim OS NS 67vs54 mos),Numerically better OS but not significant,,,,,,Breast Cancer!38,
Breast Cancer,ER+,Metastatic,,,FALCON,,ET naive ER+ MBC,Fulvestrant vs anastrozole,"PFS 16.6 vs 13.8 mos, HR 0.8; greater benefit in those with liver/lung mets (22 vs 14 mos); OS NS but ?immature",,,,,,,Breast Cancer!39,
Breast Cancer,ER+,Metastatic,,,SWOG S0226,,"ER+MBC, endocrine naive",Anastrozole+/-fulvestrant,"PFS 15 vs 14 mos, HR 0.81; OS 50 vs 42 mos, HR 0.82",ET naive patients may have been the reason for different outcomes in this study c/w FACT,,,,,,Breast Cancer!40,
Breast Cancer,ER+,Metastatic,,,FACT,,ER+MBC (only 1/3 ET naive),Anastrozole+/-fulvestrant,PFS NS (11 mos); OS NS (38 mos),,,,,,,Breast Cancer!41,
Breast Cancer,ER+,Metastatic,,,PALOMA-3,,ER+ MBS relapse/progression during or within 12 mos of ET,Fulvestrant+/-palbociclib,"PFS 11.2 vs 4.6 mos, HR 0.5; OS NS but trend (35 vs 28 mos, HR 0.8); 5 year OS 23 vs 17% (NS)",Trial stopped early limiting conclusions on OS,,,,,,Breast Cancer!42,
Breast Cancer,ER+,Metastatic,,,MONARCH-2,,ER+MBC progressing during ET,Fulvestrant+/-abemaciclib,"PFS 16.4 vs 9.3 mos, HR 0.55; ORR 48 vs 21%; OS 47 vs 37 mos, HR 0.68; chemo deferral 50 vs 22 mos",,,,,,,Breast Cancer!43,
Breast Cancer,ER+,Metastatic,,,MONALEESA-3,,ER+MBC with 0-1 prior ET treatment,Fulvestrant+/-ribociclib,"PFS 21 vs 13 mos, HR 0.59; OS 54 vs 42 mos, HR 0.73; 60 mo survival 46 vs 31%",,,,,,,Breast Cancer!44,
Breast Cancer,ER+,Metastatic,,,MONALEESA-7,,Pre/perimenopausal HR+MDS,Goserelin+tam/AI +/-ribociclib,"PFS 24 vs 13 mos, HR 0.55; 3.5 year OS 70 vs 46%, HR 0,71;",,,,,,,Breast Cancer!45,
Breast Cancer,ER+,Metastatic,,,RIGHT,Phase 2,premenopausal; aggressive HR+/HER2 (half with visceral crisis)-,Ribociclib/ET vs combination chemo,PFS 24 vs 12 mos and more tolerable; time to response 5 vs 3 mos,,,,,,,Breast Cancer!46,
Breast Cancer,ER+,Metastatic,,,PostMonarch,,Post CDK4/6+AI,Fulvestrant +/- abemaciclib,"PFS 6 vs 5.3 mos, HR 0.73; 6 mo PFS 50% and 37%",Similar treatment effect with ESR1/PIK3CA mutations,,,,May be a particular option in patients without PIK3CA mutations,,Breast Cancer!47,
Breast Cancer,ER+,Metastatic,,,CAPITELLO291,Phase 3,HR+/HER2- post AI (with or without CDK4/6i); with or without AKT alteration,Fulvestrant +/- capivasertib,"PFS 7 vs 4 mos, HR 0.6; similar w/wo AKT alterations",,,,,,,Breast Cancer!48,
Breast Cancer,ER+,Metastatic,,,FAKTION (ASCO ’22 update),Phase 2,HR+/HER2- breast cancer post AI,Fulvestrant+/-capivasertib,"PFS 10 vs 5 mos, HR 0.58; OS 29 vs 23 mos (HR 0.66); Benefit may be predominantly in PIK3CA/AKT/PTEN mutated tumours",,,,,,,Breast Cancer!49,
Breast Cancer,ER+,Metastatic,,,INAV0120,,"PIK3CAmut, ER+, HER2- met BC, Progressing during /within 12 most adjuvant endocrine Rx",Palbo/fulvestrant+/- inavolisib,"PFS 15 vs 7 mos, HR 0.43; 
OS 34 vs 27 mos, HR 0.67",,,,,,,Breast Cancer!50,
Breast Cancer,ER+,Metastatic,,,MAINTAIN,Phase 2,Metastatic; post CDK 4/6,Exe/fulvestrant +/- ribociclib,PFS 5 vs 3 mos (HR 0.56),Supports continuation CDK inhibition post progression,,,,,,Breast Cancer!51,
Breast Cancer,ER+,Metastatic,,,SOLAR-1,,ER+MBC with previous AI,Fulvestrant+/-alpelisib,"PFS in PIK3CA mut 11 vs 5.7 mos, HR 0,65; OS NS (trend for benefit 39 vs 31 mos)","Hyperglycemia, rash, diarrhea; these patients were not prev treated with CDK4/6 inhibitors",,,,,,Breast Cancer!52,
Breast Cancer,ER+,Metastatic,,,BOLERO-2,,ER+MBC post anastrozole,Exemestane+/-everolimus,"PFS 7 vs 3 mos, HR 045; ORR 9.5 vs 0.4%; OS 31 vs 26.6 mos, HR 0.89;",,,,,,,Breast Cancer!53,
Breast Cancer,ER+,Metastatic,,,GINECO,Phase 2,"Open label phase 2, ER+MBC post AI",Tam+/-everolimus,"PFS 8.6 vs 4.5 mos, HR 0.54; OS HR 0.45; ORR NS",,,,,,,Breast Cancer!54,
Breast Cancer,ER+,Metastatic,,,PEARL,Phase 3,ER+MBC post AI; superiority study,Palbo/endocrine Rx vs Cape,PFS NS (7.5 mos pal vs 10 mos Cape); palbo better tolerated,,,,,,,Breast Cancer!55,
Breast Cancer,ER+,Metastatic,,,YOUNG PEARL,Phase 2,"Premenopausal HR+/HER2- MBC progressing on tamoxifen, ≤1 prior chemo line; n=184",Palbo/exe/leuprolide vs cape,"PFS 20.1 vs 14.4 mo, HR 0.66 (0.44-0.99); OS NS; treatment-related SAEs 2 vs 17%; better QOL",,"PFS 20.1 vs 14.4 mo, HR 0.659 (95% CI 0.437-0.994), one-sided p=0.0235",31668850,,,,Breast Cancer!56,
Breast Cancer,ER+,Metastatic,,,Xu,Phase 3,HR+/HER2- breast cancer,Exemestane+/- entinostat,PFS 6.3 vs 3.7 mos (HR 0.74),,,,,,,Breast Cancer!57,
Breast Cancer,ER+,Metastatic,,,EMERALD,Phase 3,post 1-2 lines ET; prev CDK4/6; ≤1 chemo,Elacestrant vs standard ET,PFS HR 0.70; HR 0.55 IN ESR1 mut; actual pas benefit small 2.9 vs 1.9 mos,,,,,,,Breast Cancer!58,
Breast Cancer,ER+,Metastatic,,,PADA-1,,"HR+/HER2-, randomized switch after detection of rising ESR1 mutation",AI-palbo switch to fulvestrant-palbo,PFS 12 vs 5.7 mos (HR 0.63); switching after progression did not seem to produce same benefit as switching when detecting mutation,,,,,,,Breast Cancer!59,
Breast Cancer,ER+,Metastatic,,,TROPICS-02,,HR+/HER2- after CDK4/6 and 2-4 lines chemo,Sacituzumab vs investigators choice,"PFS 5.5 vs 4 mos (HR 0.66); OS 14 vs 11 mos, HR 0.79",,,,,,,Breast Cancer!60,
Breast Cancer,ER+,Metastatic,,,DESTINY Breast 04,Phase 3,"HER2 low(1+/2+ neg FISH), 1-2 prior lines, phase 3 (NB: 10% were ER neg)",TDXd vs investigator’s choice,"HR pos cohort: PFS 10 vs 5.4 mos (HR 0.51); OS 24 vs 17.5 mos (HR 0.64)

Similar in overall cohort; ILD in 12%; 1% fatal",,,,,,,Breast Cancer!61,
Breast Cancer,ER+,Metastatic,,,DESTINY Breast 06,,"HR+ HER2 low or ultralow, no prior chemo, ≥2 lines ET",TDXd vs investigator’s choice,"PFS 13 vs 8 mos, HR 0.62 for HER2 low; similar results for ultralow. OS immature",,,,,,,Breast Cancer!62,
Breast Cancer,ER+,Metastatic,,,TROPION-Breast01,,"HR+, HER2-, 1-2 prev lines chemo",Dato-DXd vs investigators choice,"TTNT 8 vs 5 mos, HR 0.53; better AE and QOL than chemo; OS NS",,,,,,,Breast Cancer!63,
Breast Cancer,ER+,Metastatic,,,ASCENT-07,,"Met HR+ HER2- BC, no prior chemo for locally adv/met; early progression ET/CDK4/6","sacituzumab vs chemo (Cape, taxol, abraxane)",PFS NS (8 mos),,,,,,,Breast Cancer!64,
Breast Cancer,ER+,Metastatic,,,EMBER-3,,"HR+, HER2-, post AI",Imlunestrant+/-abema vs ET mono therapy,"ESR1 mut: PFS 5.5 mos I vs 3.8 mos ET; 
Overall: PFS NS I vs ET; I+abema 9.4 mos vs I 5.5 mos, HR 0.57",,,,,,,Breast Cancer!65,
Breast Cancer,ER+,Metastatic,,,VERITAC-2,,"HR+, HER2-, post AI",Vepdegestrant vs fulvestrant,"ESR1 mut PFS 5 vs 2 mos, HR 0.58; overall pop NS",PROTAC degrader - effective in ESR1 mut,,,,,,Breast Cancer!66,
Breast Cancer,ER+,Metastatic,,,SERENA-6,,"HR+, HER2-, with ESR1 developing",AI/CDK4/6 +/- Camizestrant addition,"PFS 16 vs 9 mos, HR 0.44; QOL deterioration 23 vs 6 mos, HR 0.53",,,,,,,Breast Cancer!67,
Breast Cancer,ER+,Metastatic,,,FINER,,ER+MBC with previous AI/CDK4/6,Fulvestrant +/- ipatasertib,"PFS 5 vs 2 mos, HR 0.61;",,,,,,,Breast Cancer!68,
Breast Cancer,ER+,Metastatic,,,VIKTORIA1,,ER+/HER2- MBC;,Gedtolisib+Fulvestrant+/-palbo vs Fulvestrant (3 arms),PFS better doublet and triplet,,,,,,,Breast Cancer!69,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,TRAIN-2,,II/III breast ca,Tras+pert with either FEC-TC (6) or TC (9),same EFS (94/93%) and OS (98%); path CR 67/68%,Argues against benefit to inclusion of anthracycline,,,,,,Breast Cancer!74,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,TRYPHAENA,Phase 2,"Operable, locally advanced or inflammatory HER2+ breast cancer; n=225",FEC-HP->THP vs FEC->THP vs TCHP (neoadjuvant),"Cardiac safety study: symptomatic LVSD 0, 2.7 and 0%; path CR (ypT0/is) 62, 57 and 66% (FEC-HP->THP, FEC->THP, TCHP)",Not powered to compare pCR between arms,"Symptomatic LVSD 2.7% (FEC->THP arm only); LVEF decline ≥10 points to <50% in 5.6, 5.3 and 3.9%",23704196,,,,Breast Cancer!75,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,BCIRG,Phase 3,Phase 3 adjuvant breast,Adjuvant ACTH vs TCH vs ACT,Both tras arms better than ACT; less CHF with TCH 0.4 vs 2%,,,,,,,Breast Cancer!76,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,NeoSphere,Phase 2,"Treatment-naive operable, locally advanced or inflammatory HER2+ breast cancer; n=417",DH vs DP vs DHP vs HP,"Path CR DHP 46% vs DH 29% (p=0.014), DP 24%, HP 17%; PFS not prolonged but underpowered for this",,"Breast pCR 45.8% DHP vs 29.0% DH, p=0.0141",22153890,,,,Breast Cancer!77,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,DESTINY Breast 11,Phase 3,Phase 3 neoadjuvant HER2+ high risk (≥cT3 or N1-N3),TDXd-> THP vs ddAC-> THP,pCR 67 vs 56%;,Higher pCR in HR negative (83 vs 67%); EFS trend HR 0.56 (NS),,,,,,Breast Cancer!78,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,KATHERINE,,Residual invasive disease after neoadjuvant taxane containing chemo with tras,TDM1 vs tras,"8 year iDFS 81 vs 67%, HR 0.5; 7 year OS 89 vs 84%, HR 0.66",,,,,,,Breast Cancer!80,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,DESTINY Breast 05,,"Residual high risk disease (cT4, cN2-3, ypN1) after neoadjuvant taxane containing chemo with tras",TDXd vs TDM1,"3 year iDFS 92 vs 84%, HR 0.47",,,,,,,Breast Cancer!81,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,APHINITY,,Node+ or high risk node neg,Chemo-tras +/-pert,"3-y iDFS 94.1 vs 93.2%, HR 0.81; node+ 92 vs 90%, HR 0.77; no difference in node-neg; 6-y node+ iDFS 88 vs 83%, HR 0.76, still no benefit node-neg",,,,,,,Breast Cancer!82,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,KAITLIN,,"HER2 positive, adjuvant, ≥T2N0 or N+, all had AC",TDM1-pert vs taxane-tras-pert,IDFS NS (3 year 94%),,,,,,,Breast Cancer!83,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,ExteNET,,Post 1 year trastuzumab,Neratinib vs Obs,"5 year iDFS 90 vs 87.7%, HR 0.73; trend for more improvement in HR+;",No data on adjuvant neratinib in patients who received pertuzumab,,,,,,Breast Cancer!84,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,APT,Phase 2,T1N0,Taxol-tras,"3 year iDFS 98.7%; 7 year DFS 93%, OS 95%",,,,,,,Breast Cancer!85,
Breast Cancer,HER2+,Neoadjuvant/adjuvant,,,ATEMPT,Phase 2,Stage 1,TDM1 vs TH,3 year iDFS 97.7% vs 92.8% (not powered for comparison),Limited follow up and toxicity issues so TDM1 still not standard as adjuvant,,,,,,Breast Cancer!86,
Breast Cancer,HER2+,Metastatic,,,Cleopatra,,1st line,Doce-tras+/-pert,OS 57 vs 41 mos; 8 year survival 37 vs 23%; HR 0.69,,,,,,,Breast Cancer!91,
Breast Cancer,HER2+,Metastatic,,,HER2CLIMB-05,,Maintenance after THP for HER2+ MBC,Tucatinib vs placebo in combination with HP maintenance,"mPFS 25 vs 16 mos, HR 0.64; OS trend positive; more nausea, diarrhea, LFTs",,,,,,,Breast Cancer!92,
Breast Cancer,HER2+,Metastatic,,,PATINA,,Maintenance after THP for HER2+ MBC,T(+/-P) with or without palbo,"PFS 44 vs 29 mos, HR 0.74; reduced CNS progression with baseline mets",,,,,,,Breast Cancer!93,
Breast Cancer,HER2+,Metastatic,,,MARIANNE,,1st line,TDM1 vs TDM1+pertuzumab vs tras-taxane,Similar PFS and ORR in all arms,,,,,,,Breast Cancer!94,
Breast Cancer,HER2+,Metastatic,,,DESTINY Breast 09,,1st line,TDXd vs TDXd-pert vs taxane-pert-tras,Recruiting,,,,,,,Breast Cancer!95,
Breast Cancer,HER2+,Metastatic,,,TH3RESA,,≥2 prev HER2 directed regimens,TDM1 vs dealers choice,"PFS 6.2 vs 3.3 mosl; OS 22.7 vs 15.8 mos, HR 0.68",,,,,,,Breast Cancer!96,
Breast Cancer,HER2+,Metastatic,,,EMILIA,,Post HER2 directed progression,TDM1 vs lap-cape,"OS 31 vs 25 mos, HR 0.68 ; PFS 10 vs 6 mos;",,,,,,,Breast Cancer!97,
Breast Cancer,HER2+,Metastatic,,,DESTINY-BREAST03,Phase 3,2nd line; Previous tras-taxane,TDM1 vs TDXd,"PFS NR vs 6.8 mos, HR 0.28; 12 mo OS 94 vs 86%, HR 0.55; ILD 11 vs 2% (all g 1/2)","Trial stopped early; 

Establishes TDXd as 2nd line option",,,,,,Breast Cancer!98,
Breast Cancer,HER2+,Metastatic,,,HER2CLIMB2-02,,2nd line HER2 positive after taxmen,TDM1 +/- tucatinib,"PFS 9.5 vs 7.4 mos, HR 0.76; with brain mets OFS 7.8 vs 5.6 most, HR 0.64; OS immature",,,,,,,Breast Cancer!99,
Breast Cancer,HER2+,Metastatic,,,HER2CLIMB,,"Prev tras, pert, TDM1",Cape-tras+/-tucatinib,"2 year OS 45 vs 27%; 1 year PFS 33 vs 12%; with CNS mets, 1 year PFS 25% vs 0%",,,,,,,Breast Cancer!100,
Breast Cancer,HER2+,Metastatic,,,NALA,,≥2 prior HER2 directed lines,Cape-neratinib vs cape-lapatinib,"similar OS (24, 22 mos); PFS favoured neratinib 8.8 vs 6.6 mos",,,,,,,Breast Cancer!101,
Breast Cancer,HER2+,Metastatic,,,SYSUCC-002,,"1st line HER2 pos, metastatic",Trastuzumab with endocrine or chemo,"PFS NS, OS NS",Supports the option of endocrine therapy with anti HER2,,,,,,Breast Cancer!102,
Breast Cancer,HER2+,Metastatic,,,SOPHIA,,Previously treated HER2+ advanced breast cancer,Chemo +margetuximab or trastuzumab,PFS better with margetuximab; OS NS (22 mos),,,,,,,Breast Cancer!103,
Breast Cancer,TNBC,,,,BrighTNess,,Stage II/III TNBC,Taxol+/-carbo+/-veliparib-> AC,"Carbo increased pCR rate 58 vs 31%; 4 year EFS 79 vs 66%, HR 0.57; OS NS (trend for improvement with carbo); increased heme toxicity with carbo; veliparib not helpful","Supports addition of carbo in neoadjuvant setting;

pCR correlated wth better EFS (HR 0.26)",,,,,,Breast Cancer!106,
Breast Cancer,TNBC,,,,GeparSixto,,NACT in TNBC,"Taxol, lipo-dox and bev +/- carbo","DFS 86 vs 76%, HR 0.56; OS NS (92 vs 86%)",Showed DFS benefit whereas other studies of adding carbo have only reported pCR,,,,,,Breast Cancer!107,
Breast Cancer,TNBC,,,,KEYNOTE-522,Phase 3,II/III TNBC; NACT,Carbo-taxol->AC +/- pembro,"36 mo EFS 85 vs 77%, HR 0.63; Path CR in PDL1+ 69 vs 55%, PDL1- 45 vs 30%",,,,,,,Breast Cancer!108,
Breast Cancer,TNBC,,,,IMpassion 031,Phase 3,II/III TNBC; NACT,Nab-paclitaxel->AC +/- atezolizumab,PathCR 58 vs 41%; In PDL1+ 69 vs 49%; PDL1- 48 vs 34%,,,,,,,Breast Cancer!109,
Breast Cancer,TNBC,,,,IMpassion 030,Phase 3,"II/III TNBC, adjuvant phase 3",chemo+/- atezo,iDFS NS,,,,,,,Breast Cancer!110,
Breast Cancer,TNBC,,,,CREATE-X,,"HER2 negative breast cancer, (1/3 TNBC), residual disease after neoadjuvant chemo",Cape x 8 vs no further chemo,"DFS 74 vs 68%, HR 0.7; OS 89 vs 84%, HR 0.59; improved outcomes driven by TNBC with DFS 70 vs 56%, HR 0.58",,,,,,,Breast Cancer!111,
Breast Cancer,TNBC,,,,EA1131,,"TNBC, residual disease after neoadjuvant",Platinum chemo vs cape,3 year iDFS NS and OS,Capecitabine remains the standard in this setting,,,,,,Breast Cancer!112,
Breast Cancer,TNBC,,,,SYUCC-001,,Stage 2/3 TNBC post standard adjuvant; cape given lower dose x 1 year,Capecitabine vs placebo,"5 year DFS 83 vs 73%, HR 0.64; 5 year OS 85 vs 81%, HR 0.75;",,,,,,,Breast Cancer!113,
Breast Cancer,TNBC,,,,TNT,,"First line, metastatic TNBC",Carboplatin vs docetaxel,"In BRCA1/2 mut,carboplatin had higher RR 68 vs 33% and PFS 6.8 vs 4.4 mos; OS NS but there was crossover; less toxicity with carboplatin",,,,,,,Breast Cancer!114,
Breast Cancer,TNBC,,,,IMpassion 130,,"met TNBC, ≥12 mos out from adjuvant chemo;",Nab-paclitaxel+/- atezolizumab,"PFS 7.2 vs 5.5 mos. HR 0.8; OS NS (21 vs 17.6 mos); in PDL1+ PFS 7.5 vs 5 mos, HR 0.62 and OS 25 vs 15.5 mos, HR 0.62;",,,,,,,Breast Cancer!115,
Breast Cancer,TNBC,,,,KEYNOTE 355,,"Met TNBC, disease free interval ≥6 mos,",Chemo+/-pembro,"PFS 7.5 vs 5.6 mos, HR 0.82; benefit limited to CPS≥10 with PFS 9.7 vs 5.6 mos, HR 0.65; OS 23 vs 16 mos, HR 0.73 in CPS ≥10; no OS benefit in CPS ≥1",,,,,,,Breast Cancer!116,
Breast Cancer,TNBC,,,,KEYNOTE 119,,"Met TNBC, 1-2 prior lines, previous anthracycline and taxane",Pembro vs chemo,OS NS (~10 mos); no impact of CPS ≥1 or ≥10,Note that platinum was not one of the chemo options and fewer than half had previous platinum,,,,,,Breast Cancer!117,
Breast Cancer,TNBC,,,,IMpassion 131,,first line TNBC,Paclitaxel+/-atezo,PDL1+ PFS NS (5.6 vs 6 mos),Discrepancy bet/ this and IMpassion131 results unclear (?due to chemo backbone),,,,,,Breast Cancer!118,
Breast Cancer,TNBC,,,,TROPION-Breast02,,"first line met TNBC, IO not an option",Dato-DXd vs investigators choice,"PFS 11 vs 6 mos, HR 0.57; 18 mo PFS 33 vs 17%; ORR 63 vs 29%",,,,,,,Breast Cancer!119,
Breast Cancer,TNBC,,,,ASCENT-03,,"first line met TNBC, IO not an option",SG vs chemo,"PFS 10 vs 7 mos, HR 0.62; ORR 48 vs 46%; mDOR 12 vs 7 mos;",,,,,,,Breast Cancer!120,
Breast Cancer,TNBC,,,,OlympiAD,,Metastatic HER2 neg BRCA assoc breast ca,"Olaparib vs chemo (cape, eribulin or vinorelbine)","PFS 7 vs 4.2 mos, HR 0.58; OS NS; in TNBC subgroup PFS HR 0.43 as compared with 0.82 in HR+",,,,,,,Breast Cancer!121,
Breast Cancer,TNBC,,,,EMBRACA,,Metastatic HER2 neg BRCA assoc breast ca,"Talazoparib vs chemo (cape, eribulin, gem or vinorelbine)","PFS 8.6 vs 5,6 mos, HR 0.54; OS NS",,,,,,,Breast Cancer!122,
Breast Cancer,TNBC,,,,ASCENT,Phase 3,Metastatic TNBC; >= 2 prior chemo,"sacituzumab vs chemo (Cape, eribulin, gemcitabine, vinorelbine)","PFS 5.6 vs 1.7 mod, HR 0.41; OS 12.1 vs 6.7 mos , HR 0.48; ORR 35 vs 5%; neutropenia, diarrhea, feb neut",,,,,,,Breast Cancer!123,
Breast Cancer,TNBC,,,,ASCENT-04,,Metastatic TNBC 1st line,SG-Pembro vs chemo-pembro,"PFS 11 vs 8 mos, HR 0.65; ORR 60 vs 53%;",,,,,,,Breast Cancer!124,
Breast Cancer,TNBC,,,,TROPION-PanTumour01,Phase 1,TNBC; previously treated,Datopotamab deruxtecan,ORR 34%,,,,,,,Breast Cancer!125,
Breast Cancer,Radiation,,,,LUMINA,,"≥55 yo; lumpectomy for T1-2,N0; negative margins; luminal A; treated with adjuvant endocrine Rx",Omission of adjuvant radiation after BCS,5 year locoregional release was 2.3% (met respecified criteria of ≤5%),,,,,,,Breast Cancer!128,
Breast Cancer,Other,Neoadjuvant,,,Kuerer et al,,TNBC or HER2+ treated with NACT and image guided biopsy determined path CR,Omission of surgery (after chemo and radiation),No ipsilateral breast recurrences after 26 months follow up,,,,,,,Breast Cancer!132,
CML,,,,,IRIS,,"RCT, newly diagnosed",Imatinib vs IFN+cytarabine,"imatinib CHR 97%; CCyR 76%; MMR 39%; PFS 97%; after 10 years 93% MMR and 63% MR 4.5, 10 year OS 84%",,,,,,,CML!4,
